"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C12orf10",3.57171736855005e-17,-1.29767829193604,0.061,0.346,3.6785117178697e-13
"CTNNAL1",3.94853100889221e-17,-3.54829777763287,0.009,0.215,4.06659208605809e-13
"FAU",4.06660208633265e-17,0.576170920782573,0.962,0.954,4.188193488714e-13
"EIF2S1",4.10554636440754e-17,-1.16868114739966,0.066,0.358,4.22830220070332e-13
"AHNAK2",4.26303354211158e-17,-8.75939570233267,0,0.188,4.39049824502071e-13
"ANG",4.26303354211158e-17,-8.50254039991616,0,0.188,4.39049824502071e-13
"CLIC6",4.26303354211158e-17,-8.8013295760003,0,0.188,4.39049824502071e-13
"EDN1",4.26303354211158e-17,-9.05993643839228,0,0.188,4.39049824502071e-13
"F12",4.26303354211158e-17,-8.00793126158008,0,0.188,4.39049824502071e-13
"DKC1",4.47369148470823e-17,-0.815138522048766,0.043,0.308,4.60745486010101e-13
"GALNT6",5.04463571255278e-17,-1.94897979033698,0.026,0.262,5.19547032035811e-13
"ATF6",5.14994495913063e-17,-1.81629320173813,0.026,0.262,5.30392831340864e-13
"ARF3",5.64984357325543e-17,-0.906480003530182,0.113,0.458,5.81877389609577e-13
"ATP6V0A1",5.72576889111319e-17,-5.20321545620375,0.003,0.196,5.89696938095747e-13
"AP2A2",5.96996806402264e-17,-0.967895015140486,0.035,0.285,6.14847010913691e-13
"CHCHD1",6.20449774129042e-17,-0.928368503146,0.118,0.469,6.390012223755e-13
"FYN",6.46179012695989e-17,3.59651892470922,0.413,0.146,6.654997651756e-13
"GALK1",6.76990868322941e-17,-1.04367652453688,0.029,0.269,6.97232895285797e-13
"AVL9",6.84624736948737e-17,-1.12581948046825,0.02,0.246,7.05095016583505e-13
"CTSA",8.65050000665137e-17,-1.14990676850361,0.13,0.477,8.90914995685025e-13
"CUL5",9.33950268335348e-17,-1.47769540331245,0.035,0.281,9.61875381358575e-13
"ACTB",9.35540053806131e-17,0.668650172568948,0.991,0.992,9.63512701414934e-13
"B4GALT2",9.39736856060124e-17,-7.68113128007356,0,0.185,9.67834988056321e-13
"CMTM4",9.39736856060124e-17,-7.80167915444388,0,0.185,9.67834988056321e-13
"DLC1",9.39736856060124e-17,-8.91362037133826,0,0.185,9.67834988056321e-13
"FAM3B",9.39736856060124e-17,-9.08483275319488,0,0.185,9.67834988056321e-13
"GSTA4",9.39736856060124e-17,-8.25712104660312,0,0.185,9.67834988056321e-13
"ALAS1",9.64692283732928e-17,-2.4221758941357,0.009,0.212,9.93536583016543e-13
"CCDC34",1.02916463748975e-16,-2.17736343986133,0.02,0.242,1.0599366601507e-12
"ACACA",1.04709439672335e-16,-2.26902329153746,0.012,0.219,1.07840251918538e-12
"FAH",1.0792216122088e-16,-2.73114759475544,0.012,0.219,1.11149033841384e-12
"GALNT7",1.0792216122088e-16,-2.64632820085171,0.012,0.219,1.11149033841384e-12
"GADD45A",1.08549896953618e-16,-1.64154722999916,0.061,0.338,1.11795538872531e-12
"CITED2",1.09944752739412e-16,-1.27405311366992,0.185,0.554,1.13232100846321e-12
"ATP2C1",1.17187604951923e-16,-1.91626737466263,0.023,0.25,1.20691514339986e-12
"DNAJC5",1.18165454759022e-16,-0.993663645188145,0.035,0.281,1.21698601856316e-12
"GAMT",1.19049365391637e-16,-1.50206111168144,0.02,0.242,1.22608941416847e-12
"DYNC1H1",1.22624471041796e-16,-0.863312000816916,0.092,0.412,1.26290942725946e-12
"C11orf96",1.22958620566009e-16,-5.49795971819736,0.003,0.192,1.26635083320933e-12
"ADPRHL2",1.24149990493502e-16,-1.29948080265724,0.043,0.3,1.27862075209258e-12
"CALM2",1.26769714442489e-16,-0.927912263428166,0.598,0.912,1.3056012890432e-12
"CDCP1",1.31266246893786e-16,-4.27968556019709,0.003,0.192,1.3519110767591e-12
"EVI5",1.31266246893786e-16,-4.21758075378114,0.003,0.192,1.3519110767591e-12
"EFCAB14",1.31366945014519e-16,-0.627483949534246,0.078,0.381,1.35294816670453e-12
"HEXB",1.34460852913342e-16,-0.932431762826169,0.09,0.404,1.38481232415451e-12
"AK6",1.35012127386608e-16,-0.884578833343199,0.058,0.335,1.39048989995468e-12
"HNRNPUL2",1.43407696302741e-16,-1.30162774103224,0.043,0.3,1.47695586422193e-12
"EPB41L5",1.68047174095664e-16,-3.1511849964923,0.006,0.2,1.73071784601124e-12
"C3",1.69829396247673e-16,-3.83252873487478,0.012,0.215,1.74907295195479e-12
"COMTD1",1.70758517994683e-16,-0.87409006108567,0.069,0.362,1.75864197682724e-12
"DRAM2",1.79693214707241e-16,-0.592692495466932,0.069,0.362,1.85066041826987e-12
"DNAJC19",1.91205390363096e-16,-0.791374643224065,0.145,0.519,1.96922431534953e-12
"ARMCX3",1.92352702167308e-16,-1.04915392320962,0.066,0.35,1.9810404796211e-12
"CYTH2",1.99872110654884e-16,-0.697320339209001,0.058,0.335,2.05848286763465e-12
"BAIAP2-AS1",2.06665077654101e-16,-8.13904519699375,0,0.181,2.12844363475959e-12
"CADPS2",2.06665077654101e-16,-7.42955207173675,0,0.181,2.12844363475959e-12
"DAPK1",2.06665077654101e-16,-8.55255032697675,0,0.181,2.12844363475959e-12
"ETV5",2.06665077654101e-16,-7.88287760532565,0,0.181,2.12844363475959e-12
"GATA2-AS1",2.06665077654101e-16,-7.59444165160568,0,0.181,2.12844363475959e-12
"C19orf70",2.10027520807092e-16,-0.854751142425933,0.205,0.635,2.16307343679224e-12
"ERH",2.20335288780416e-16,-1.04552316180858,0.292,0.731,2.2692331391495e-12
"DCUN1D5",2.278668670358e-16,-0.785349310279729,0.055,0.327,2.3468008636017e-12
"EVI2B",2.3506489336445e-16,4.39910219050775,0.298,0.042,2.42093333676047e-12
"HIBADH",2.47697367401761e-16,-2.82220904267607,0.014,0.223,2.55103518687074e-12
"ATP6V0B",2.49339005525251e-16,-1.08388292013107,0.243,0.646,2.56794241790456e-12
"ANKRD13A",2.53376776259781e-16,-1.60673001593704,0.026,0.254,2.60952741869949e-12
"CTGF",2.54978238726472e-16,-5.93487525053932,0.003,0.188,2.62602088064393e-12
"C5orf42",2.72183237900181e-16,-4.86464228479433,0.003,0.188,2.80321516713397e-12
"DEXI",2.90147383263289e-16,-1.69304453487677,0.02,0.238,2.98822790022861e-12
"B3GNT3",2.92909048897813e-16,-3.9439422349244,0.003,0.188,3.01667029459858e-12
"GARS",3.01524920719972e-16,-1.00703132168143,0.055,0.323,3.10540515849499e-12
"APEX1",3.01551988564272e-16,-0.811900604295882,0.121,0.465,3.10568393022343e-12
"C8orf82",3.06979228326322e-16,-1.7124556636532,0.02,0.238,3.16157907253279e-12
"HES6",3.21162043238905e-16,-1.63995763849299,0.023,0.246,3.30764788331748e-12
"ACAA1",3.21679091502733e-16,-1.03177017692074,0.095,0.412,3.31297296338665e-12
"COX20",3.23790924078017e-16,-0.831799535126042,0.133,0.485,3.33472272707949e-12
"DFFA",3.26730922970127e-16,-1.69199955347298,0.035,0.273,3.36500177566934e-12
"C4BPA",3.39833031539551e-16,-4.17687380241796,0.006,0.196,3.49994039182584e-12
"ASNS",3.52657594432797e-16,-3.24784139485399,0.017,0.227,3.63202056506338e-12
"ENPP4",3.56363873018733e-16,-3.6585263985894,0.006,0.196,3.67019152821993e-12
"DENR",3.60514673113444e-16,-0.544211945420753,0.09,0.404,3.71294061839536e-12
"EFNA5",3.70742997861989e-16,-3.78863086148773,0.006,0.196,3.81828213498062e-12
"HM13",3.882771575244e-16,-0.731214267627555,0.147,0.519,3.9988664453438e-12
"CYB5R1",3.91941164772919e-16,-1.03234573689279,0.043,0.296,4.03660205599629e-12
"CFL2",3.9472779281286e-16,-2.01101269974226,0.029,0.258,4.06530153817964e-12
"CBX5",4.12810349258979e-16,-0.694416789898863,0.055,0.323,4.25153378701823e-12
"FAM60A",4.15751351530279e-16,-1.01643267765949,0.061,0.335,4.28182316941035e-12
"FAM168B",4.16525049024866e-16,-1.42833994478522,0.038,0.281,4.2897914799071e-12
"CSNK1A1",4.28460594577088e-16,-0.804072365044494,0.205,0.619,4.41271566354943e-12
"GGCX",4.43009637473461e-16,-0.888276604147184,0.04,0.288,4.56255625633917e-12
"CCPG1",4.49447119009905e-16,-1.26028104017475,0.075,0.362,4.62885587868301e-12
"ARHGAP32",4.53428322114844e-16,-7.88770284699604,0,0.177,4.66985828946078e-12
"ACTR10",4.69714987681117e-16,-0.867991586240541,0.098,0.415,4.83759465812782e-12
"CLEC2B",4.75990615354761e-16,2.79268037085025,0.46,0.208,4.90222734753869e-12
"FAM126A",5.16004163726757e-16,-2.86070522827723,0.014,0.219,5.31432688222187e-12
"CAMK2D",5.20765955461031e-16,-1.21491199820222,0.035,0.273,5.36336857529316e-12
"C1orf27",5.47051857830984e-16,-1.88707973794205,0.017,0.227,5.6340870838013e-12
"AQP1",5.70215942810342e-16,-4.59967952880797,0.012,0.208,5.87265399500371e-12
"CISD2",5.78102586754513e-16,-0.746578777937921,0.113,0.45,5.95387854098473e-12
"CTDSP2",5.89541971145615e-16,-0.773057953299836,0.084,0.385,6.07169276082869e-12
"HLA-DPB1",6.0260707669093e-16,1.55123596434237,0.653,0.462,6.20625028283989e-12
"CDIPT",6.09633102435999e-16,-0.569249116927977,0.092,0.408,6.27861132198835e-12
"FBLIM1",6.31132719958324e-16,-3.9999406381389,0.003,0.185,6.50003588285078e-12
"AKT1S1",6.35744527353703e-16,-1.09061485726218,0.026,0.25,6.54753288721578e-12
"CAPN2",6.4193393452903e-16,-0.97429275234823,0.205,0.608,6.61127759171448e-12
"C12orf75",6.93674269727806e-16,2.55241406583294,0.442,0.177,7.14415130392667e-12
"COPS3",7.16449919945581e-16,-1.12652176992885,0.061,0.331,7.37871772551953e-12
"DESI2",7.46623834697834e-16,-1.25274786567094,0.04,0.285,7.68947887355299e-12
"DCAF6",7.87299872801273e-16,-1.43254465271418,0.035,0.269,8.10840138998032e-12
"BSG",7.89189482050626e-16,-1.18567185953665,0.321,0.762,8.1278624756394e-12
"FAM173A",8.00557142388162e-16,-0.872722785534285,0.118,0.454,8.24493800945568e-12
"C17orf89",8.25091152145543e-16,-0.841543424711216,0.217,0.627,8.49761377594695e-12
"ACTL6A",8.42245933261244e-16,-1.52880061590565,0.032,0.262,8.67429086665755e-12
"CCNB1IP1",8.62092542650194e-16,-0.791550927817726,0.052,0.312,8.87869109675435e-12
"FAM63B",9.37269207067145e-16,-1.07293272008934,0.058,0.323,9.65293556358452e-12
"ARHGAP9",9.92223398630602e-16,6.33123684730034,0.24,0.012,1.02189087824966e-11
"FAM84A",9.92514053741152e-16,-8.34962392824872,0,0.173,1.02219022394801e-11
"FAT1",9.92518289343973e-16,-7.67920480619111,0,0.173,1.02219458619536e-11
"HOXD1",9.92518289343973e-16,-8.93374364287643,0,0.173,1.02219458619536e-11
"COX6A1",9.93628916341866e-16,-1.03745756298118,0.488,0.831,1.02333842094049e-11
"HADH",1.05177244738811e-15,-1.32360323129385,0.032,0.262,1.08322044356502e-11
"HDAC7",1.05494057014732e-15,-1.45367694489767,0.029,0.254,1.08648329319473e-11
"CORO2A",1.08033667350599e-15,-2.32560943475432,0.02,0.231,1.11263874004382e-11
"FDPS",1.16642282011305e-15,-0.894204175911334,0.139,0.488,1.20129886243443e-11
"HN1",1.20506639201017e-15,-1.32020411281495,0.28,0.662,1.24109787713128e-11
"CDC34",1.22328468248135e-15,-0.690961690023763,0.052,0.312,1.25986089448754e-11
"DCTN1",1.23728527383503e-15,-1.46015935002639,0.023,0.238,1.2742801035227e-11
"CCDC71L",1.23731834577031e-15,-1.72544102892548,0.026,0.246,1.27431416430885e-11
"FBXO9",1.24591507420599e-15,-0.635717037878102,0.032,0.262,1.28316793492475e-11
"FBXW11",1.29812754414262e-15,-1.56753391094212,0.023,0.238,1.33694155771248e-11
"AKR7A2",1.30265448040809e-15,-0.486856717794176,0.113,0.446,1.34160384937229e-11
"GPATCH4",1.31419063138233e-15,-0.796867007107129,0.049,0.304,1.35348493126066e-11
"ABCA1",1.33492799319912e-15,-4.92160146204617,0.003,0.181,1.37484234019577e-11
"FMO5",1.36784534391565e-15,-4.75203598974658,0.003,0.181,1.40874391969872e-11
"DNAH14",1.39023309394793e-15,-3.43335167161117,0.003,0.181,1.43180106345697e-11
"HCFC1",1.42878708882157e-15,-1.240043135977,0.023,0.238,1.47150782277734e-11
"GRHPR",1.47836626399951e-15,-0.631591338631745,0.104,0.423,1.52256941529309e-11
"EIF3I",1.57849227966867e-15,-0.918970406093222,0.231,0.642,1.62568919883076e-11
"ARFIP2",1.63380177045838e-15,-1.28175492392585,0.049,0.3,1.68265244339509e-11
"FLAD1",1.77896101922386e-15,-1.13406571083314,0.038,0.273,1.83215195369865e-11
"GCAT",1.79105072161943e-15,-2.81753382924763,0.006,0.188,1.84460313819585e-11
"DCTN2",1.88628833524196e-15,-0.633853146295548,0.121,0.462,1.94268835646569e-11
"ARHGAP15",1.90543497859993e-15,5.60787517498983,0.231,0.008,1.96240748446006e-11
"AP2S1",1.92852792026798e-15,-0.865040925860499,0.214,0.631,1.98619090508399e-11
"FAM58A",1.96720999014788e-15,-1.28307776127871,0.035,0.265,2.02602956885331e-11
"EMC4",2.02250186038978e-15,-0.586263251004511,0.145,0.512,2.08297466601543e-11
"ATG101",2.04319173397054e-15,-0.694336474875776,0.092,0.4,2.10428316681626e-11
"COPS2",2.10032691187006e-15,-0.750535245659993,0.049,0.3,2.16312668653498e-11
"FZD1",2.16752732883732e-15,-7.66936281990866,0,0.169,2.23233639596956e-11
"GCNT2",2.16752732883732e-15,-7.94188111913644,0,0.169,2.23233639596956e-11
"GSS",2.18063569137688e-15,-1.41203666478212,0.029,0.25,2.24583669854904e-11
"FUNDC1",2.26395628646546e-15,-1.11600904388393,0.035,0.265,2.33164857943078e-11
"GADD45G",2.28691246568944e-15,-2.37908911958358,0.017,0.219,2.35529114841356e-11
"COPS5",2.40286512705661e-15,-0.762183161878633,0.087,0.381,2.47471079435561e-11
"COASY",2.43395507528666e-15,-0.703015963219061,0.061,0.327,2.50673033203773e-11
"CSNK2A1",2.45203215791988e-15,-1.10017547722034,0.043,0.285,2.52534791944169e-11
"DDB1",2.48256558328327e-15,-0.534758147074521,0.081,0.373,2.55679429422344e-11
"CLCN3",2.63865367216251e-15,-1.66219067317132,0.026,0.242,2.71754941696016e-11
"CTSE",2.64025011370979e-15,-5.94453029901714,0.003,0.177,2.71919359210972e-11
"AGAP3",2.69338250251454e-15,-1.7852568564991,0.017,0.219,2.77391463933972e-11
"DTYMK",2.87977805802864e-15,-0.917086897667208,0.069,0.342,2.9658834219637e-11
"CCT3",2.90951797191033e-15,-0.836196291048179,0.179,0.558,2.99651255927045e-11
"CDH3",3.03042251593768e-15,-3.54672879992803,0.003,0.177,3.12103214916422e-11
"CNFN",3.05506401592049e-15,-3.50457997170949,0.003,0.177,3.14641042999651e-11
"DCXR",3.34451785574788e-15,-0.862231267184629,0.197,0.585,3.44451893963475e-11
"HIGD1A",3.43925072268644e-15,-0.852938715895804,0.072,0.35,3.54208431929477e-11
"ATF7",3.52251322642701e-15,-1.10774321440467,0.038,0.269,3.62783637189718e-11
"CHCHD10",3.59456649794517e-15,-1.1277724423502,0.176,0.538,3.70204403623373e-11
"AFMID",3.68344750040598e-15,-3.29981307102604,0.006,0.185,3.79358258066812e-11
"DNAJC2",3.71826486292154e-15,-0.575983626847809,0.09,0.388,3.82944098232289e-11
"CACNB3",3.77119060940704e-15,-3.3014340047519,0.006,0.185,3.88394920862831e-11
"C14orf1",3.8569168453028e-15,-0.717715833160187,0.104,0.415,3.97223865897735e-11
"AKNA",3.89476096756576e-15,4.43617019340012,0.364,0.119,4.01121432049598e-11
"AREG",4.00997232363168e-15,-1.34762213356331,0.127,0.435,4.12987049610827e-11
"ATXN2",4.22582601201873e-15,-1.54874833729415,0.043,0.281,4.35217820977808e-11
"EMC3",4.39873598158832e-15,-0.584931601305682,0.124,0.462,4.53025818743781e-11
"FDX1L",4.43332479406171e-15,-1.30379480960345,0.032,0.254,4.56588120540416e-11
"DYNLRB1",4.48622068171756e-15,-0.968672719329235,0.318,0.738,4.62035868010091e-11
"GM2A",4.62075424993456e-15,-2.61957516919664,0.009,0.192,4.7589148020076e-11
"COPS7A",4.66812551689296e-15,-1.20590327541388,0.032,0.254,4.80770246984806e-11
"AHCYL2",4.72275011817805e-15,-8.60313927518101,0,0.165,4.86396034671157e-11
"DTX4",4.72275011817805e-15,-7.90997698348337,0,0.165,4.86396034671157e-11
"GALNT12",4.72275011817805e-15,-7.1593067656074,0,0.165,4.86396034671157e-11
"C14orf119",4.79983028240531e-15,-0.713381444361356,0.09,0.385,4.94334520784923e-11
"HNRNPA1",4.86394754447547e-15,0.738152601214805,0.896,0.842,5.00937957605529e-11
"COQ9",4.92574983444369e-15,-1.11543527955827,0.029,0.246,5.07302975449356e-11
"CDK5RAP3",5.02729814703523e-15,-0.908544950889045,0.113,0.431,5.17761436163159e-11
"FAAP20",5.19968747894717e-15,-0.733628098849323,0.194,0.596,5.35515813456769e-11
"HMGCL",5.52052664899668e-15,-1.72236223377944,0.023,0.231,5.68559039580168e-11
"BTBD6",5.87889211035354e-15,-1.62543927252162,0.014,0.208,6.05467098445311e-11
"AC013461.1",6.20502332902488e-15,-1.88395180702828,0.017,0.215,6.39055352656272e-11
"ATF5",6.38064396594722e-15,-4.2779138940731,0.003,0.173,6.57142522052905e-11
"ABCF2",6.43595485207772e-15,-1.51560229295392,0.02,0.223,6.62838990215484e-11
"CLIC2",6.48465264323285e-15,-3.74224071678418,0.003,0.173,6.67854375726551e-11
"GPT2",6.59032967113502e-15,-3.23922061289429,0.003,0.173,6.78738052830195e-11
"CUL4A",6.6422532217211e-15,-0.981768914162689,0.061,0.319,6.84085659305056e-11
"CENPB",6.84881961012332e-15,-1.37324682899508,0.02,0.223,7.05359931646601e-11
"ARHGAP27",7.09941549268016e-15,-1.45115340670741,0.035,0.258,7.3116880159113e-11
"COMMD4",7.29575641267998e-15,-0.620589337084341,0.092,0.388,7.51389952941911e-11
"GANAB",7.3446209956421e-15,-0.279435010935017,0.081,0.369,7.5642251634118e-11
"CBX1",7.52023967997269e-15,-0.85212829336081,0.061,0.319,7.74509484640388e-11
"CMAS",7.85746535627302e-15,-0.584243251175642,0.072,0.346,8.09240357042559e-11
"ENTPD6",8.12547848470745e-15,-1.22794710981109,0.038,0.265,8.36843029140020e-11
"C1orf106",8.56722757541388e-15,-2.70733546844409,0.006,0.181,8.82338767991875e-11
"GPR65",9.62851227277482e-15,6.82002364741169,0.246,0.023,9.91640478973079e-11
"ECH1",1.00573065715398e-14,-0.912880355589204,0.231,0.631,1.03580200380288e-10
"ADAM17",1.01761084348194e-14,-0.707025385375701,0.046,0.285,1.04803740770205e-10
"BMP4",1.02668710099694e-14,-7.91777918511303,0,0.162,1.05738504531675e-10
"C1R",1.02668710099694e-14,-8.46762458948071,0,0.162,1.05738504531675e-10
"COBL",1.02668710099694e-14,-8.19135651305374,0,0.162,1.05738504531675e-10
"CTA-384D8.34",1.02668710099694e-14,-8.2505338677946,0,0.162,1.05738504531675e-10
"ETV4",1.02668710099694e-14,-8.07681454764448,0,0.162,1.05738504531675e-10
"FAAH",1.02668710099694e-14,-7.98935714598446,0,0.162,1.05738504531675e-10
"HAGLR",1.02668710099694e-14,-7.95939234243581,0,0.162,1.05738504531675e-10
"DNAJC15",1.07049359122449e-14,-0.871929703524238,0.139,0.473,1.1025013496021e-10
"GNPNAT1",1.11103407969079e-14,-2.22803939095331,0.012,0.196,1.14425399867354e-10
"CIAPIN1",1.1151750471255e-14,-1.21044454426042,0.029,0.242,1.14851878103455e-10
"CINP",1.12804175324908e-14,-0.705020337022725,0.058,0.312,1.16177020167122e-10
"DNM2",1.15065714983874e-14,-0.823719199249959,0.066,0.327,1.18506179861892e-10
"AP1G2",1.1937884850665e-14,-1.48100439183748,0.038,0.262,1.22948276076999e-10
"GATAD1",1.19399480944798e-14,-1.07129034940234,0.043,0.277,1.22969525425048e-10
"ESRRA",1.21146317073582e-14,-2.06272083854123,0.014,0.204,1.24768591954083e-10
"BCL3",1.27167081949956e-14,-0.754843406439328,0.032,0.25,1.3096937770026e-10
"CES2",1.29253218687959e-14,-1.19181860685994,0.014,0.204,1.33117889926729e-10
"GAS6",1.29791689601682e-14,-5.62726976531371,0.003,0.169,1.33672461120772e-10
"CASP6",1.30905087476324e-14,-1.65896868612987,0.017,0.212,1.34819149591866e-10
"FOXK2",1.31828647664384e-14,-1.67694141496088,0.017,0.212,1.35770324229549e-10
"CISD3",1.37573314983387e-14,-0.687817227949939,0.156,0.512,1.41686757101391e-10
"DPM3",1.38530362458106e-14,-0.653844958765024,0.107,0.415,1.42672420295603e-10
"APH1A",1.40083540061315e-14,-0.666324001768931,0.165,0.535,1.44272037909148e-10
"EPS8L1",1.40702466329904e-14,-3.6550398955455,0.003,0.169,1.44909470073168e-10
"ETF1",1.41037068330988e-14,-0.433200354660752,0.116,0.435,1.45254076674085e-10
"GRHL1",1.4184189354454e-14,-3.81835846053834,0.003,0.169,1.46082966161522e-10
"FAM20A",1.4299039826353e-14,-3.43926717819829,0.003,0.169,1.4726581117161e-10
"FERMT2",1.44148051573721e-14,-3.49338465424534,0.003,0.169,1.48458078315775e-10
"EIF2S2",1.54717714847429e-14,-0.874066047691427,0.231,0.631,1.59343774521367e-10
"CLN3",1.65401594267696e-14,-0.775063233620579,0.066,0.327,1.703471019363e-10
"CNOT11",1.66198891981175e-14,-0.473453961464222,0.043,0.277,1.71168238851412e-10
"C1orf50",1.68521581045975e-14,-1.12811470142604,0.035,0.254,1.7356037631925e-10
"ARIH1",1.81044292071072e-14,-0.930545754229882,0.092,0.381,1.86457516403997e-10
"CACFD1",1.85234710641039e-14,-2.70236766937524,0.006,0.177,1.90773228489206e-10
"CERS2",1.85263539499864e-14,-0.309050882644989,0.11,0.427,1.9080291933091e-10
"GLRX2",1.85319337620237e-14,-0.694802780663211,0.038,0.262,1.90860385815082e-10
"ATXN10",1.86080274715684e-14,-0.640715654439659,0.101,0.404,1.91644074929682e-10
"DRG1",1.86552466238739e-14,-1.07019296202679,0.061,0.312,1.92130384979277e-10
"HAX1",1.99369980983487e-14,-0.601064719679858,0.165,0.527,2.05331143414894e-10
"CDKN2AIPNL",1.99632098703228e-14,-0.650024984075516,0.035,0.254,2.05601098454454e-10
"GLS",2.02443410153607e-14,-0.928089291223908,0.084,0.358,2.084964681172e-10
"EGLN1",2.04302641654941e-14,-1.2275617495,0.032,0.246,2.10411290640424e-10
"C11orf49",2.11217249264294e-14,-1.87582316455964,0.023,0.223,2.17532645017297e-10
"DENND5A",2.14688142763951e-14,-2.31545699106427,0.009,0.185,2.21107318232593e-10
"GPD2",2.16317961933446e-14,-2.27241447457615,0.009,0.185,2.22785868995257e-10
"CLMN",2.2269104473642e-14,-8.0000373240187,0,0.158,2.29349506974039e-10
"COL17A1",2.2269104473642e-14,-8.47320367259164,0,0.158,2.29349506974039e-10
"CREB5",2.2269104473642e-14,-8.98725403674498,0,0.158,2.29349506974039e-10
"CTDSPL",2.2269104473642e-14,-8.09573678154366,0,0.158,2.29349506974039e-10
"EPB41L1",2.2269104473642e-14,-7.4895855283729,0,0.158,2.29349506974039e-10
"FAM57A",2.2269104473642e-14,-7.00523814200602,0,0.158,2.29349506974039e-10
"B4GALT5",2.23443579195176e-14,-0.776151650940351,0.035,0.254,2.30124542213112e-10
"CHPF2",2.31552953799339e-14,-2.02379336479733,0.02,0.215,2.3847638711794e-10
"DYNC2LI1",2.32803061851046e-14,-2.23684518003377,0.012,0.192,2.39763873400392e-10
"ENO2",2.48224591130544e-14,-1.62847240987201,0.023,0.223,2.55646506405347e-10
"GPR107",2.50816485681704e-14,-2.06074993802407,0.014,0.2,2.58315898603587e-10
"EDEM1",2.5082669700144e-14,-1.37886250006966,0.026,0.231,2.58326415241783e-10
"COMMD1",2.51997013183978e-14,-0.524591714422767,0.104,0.408,2.59531723878179e-10
"FAF2",2.53981506446023e-14,-1.1283631698678,0.04,0.265,2.61575553488759e-10
"ATP6V1F",2.54097008873813e-14,-0.937339158276627,0.332,0.712,2.6169450943914e-10
"CCL4L2",2.58244881439732e-14,5.29868511096626,0.41,0.181,2.65966403394779e-10
"HAGH",2.70048533978526e-14,-0.58562402071245,0.104,0.404,2.78122985144484e-10
"FURIN",2.71145870268917e-14,-0.620614874121819,0.043,0.273,2.79253131789957e-10
"HLA-F",2.77277258925796e-14,2.38081225664358,0.503,0.296,2.85567848967678e-10
"EIF5B",2.89849842567148e-14,-0.663671302543537,0.199,0.585,2.98516352859906e-10
"GFER",2.94503639932183e-14,-0.255085049410283,0.075,0.346,3.03309298766155e-10
"FNDC3A",2.97400412607523e-14,-0.808890803326018,0.017,0.208,3.06292684944488e-10
"C9orf152",2.9972886005748e-14,-4.78061115251874,0.003,0.165,3.08690752973198e-10
"ALDH7A1",3.02151405783211e-14,-4.40479326391464,0.003,0.165,3.11185732816129e-10
"EBAG9",3.07302469383933e-14,-0.543202502267199,0.069,0.331,3.16490813218512e-10
"HOXB7",3.12035644089624e-14,-3.4734671516314,0.003,0.165,3.21365509847903e-10
"CTNNBL1",3.12117620364877e-14,-0.739056070131715,0.052,0.292,3.21449937213787e-10
"GOLPH3",3.38182497655579e-14,-0.7005795455676,0.104,0.404,3.48294154335481e-10
"C21orf59",3.51143584473979e-14,-0.466670537042346,0.072,0.338,3.61642777649751e-10
"HNRNPAB",3.96460414718385e-14,-0.382011401333484,0.11,0.419,4.08314581118465e-10
"BOK",4.0551676365724e-14,-3.6184646897574,0.009,0.181,4.17641714890592e-10
"EIF4E2",4.10412439689145e-14,-0.57913789699601,0.107,0.412,4.22683771635851e-10
"DCTD",4.27608169480966e-14,-0.521766845478786,0.069,0.331,4.40393653748447e-10
"EMG1",4.42832483204284e-14,-0.794197556762402,0.081,0.354,4.56073174452092e-10
"ALDH3B1",4.43955604795978e-14,-2.91707368895584,0.009,0.181,4.57229877379377e-10
"FAM3A",4.4914059234106e-14,-0.867981464570942,0.055,0.296,4.62569896052058e-10
"CCDC124",4.50310314752762e-14,-0.61917934164397,0.095,0.385,4.63774593163869e-10
"CYC1",4.54092524192541e-14,-0.571863805169962,0.153,0.504,4.67669890665898e-10
"EEF1D",4.55676169686317e-14,0.543727291941962,0.931,0.919,4.69300887159938e-10
"GCHFR",4.68821644663985e-14,-0.53930001179354,0.136,0.465,4.82839411839438e-10
"CWC15",4.7696686594936e-14,-0.526190847011928,0.156,0.508,4.91228175241246e-10
"CDKN1C",4.81945604267351e-14,-8.07735998086065,0,0.154,4.96355777834945e-10
"CGNL1",4.81945604267351e-14,-8.27187130017647,0,0.154,4.96355777834945e-10
"FOXA1",4.81945604267351e-14,-7.54070876587003,0,0.154,4.96355777834945e-10
"FOXC1",4.81945604267351e-14,-8.09445683906021,0,0.154,4.96355777834945e-10
"GAREM1",4.81945604267351e-14,-7.35201318738928,0,0.154,4.96355777834945e-10
"GLIS3",4.81945604267351e-14,-7.83453815928615,0,0.154,4.96355777834945e-10
"HDDC3",4.82461747602349e-14,-0.634602837587589,0.032,0.242,4.96887353855659e-10
"COL18A1",4.93441347292191e-14,-1.99343120142098,0.02,0.212,5.08195243576227e-10
"CCS",4.97173922543737e-14,-0.572995474417972,0.066,0.323,5.12039422827795e-10
"DNAL4",5.21669469783689e-14,-2.00207875177988,0.014,0.196,5.37267386930221e-10
"CHKA",5.31314568322447e-14,-1.99881678495992,0.012,0.188,5.47200873915288e-10
"CCDC127",5.36785481308308e-14,-1.74913040323228,0.014,0.196,5.52835367199426e-10
"BRD3",5.57916384925402e-14,-1.54167165650173,0.02,0.212,5.74598084834671e-10
