"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HDHD3",9.66321492087459e-11,-0.373955868631961,0.052,0.246,9.95214504700874e-07
"ARMT1",9.96495565163099e-11,-1.22879397771107,0.038,0.212,1.02629078256148e-06
"EIF1AD",9.98923716157540e-11,-0.683693376841016,0.032,0.2,1.02879153527065e-06
"GPAA1",1.00606552850246e-10,-0.364138999089108,0.136,0.415,1.03614688780468e-06
"C21orf2",1.12249750211861e-10,-0.49409898117603,0.049,0.238,1.15606017743196e-06
"GPAT4",1.14123134846811e-10,-0.84024632629454,0.038,0.212,1.17535416578731e-06
"ERV3-1",1.19031403070312e-10,-1.07041760281703,0.058,0.254,1.22590442022114e-06
"EHBP1L1",1.21425548605509e-10,-0.755597081124852,0.038,0.212,1.25056172508814e-06
"COPS6",1.23060682096032e-10,-0.700507551590727,0.211,0.531,1.26740196490703e-06
"C16orf54",1.23062258513277e-10,5.17990873856878,0.171,0.012,1.26741820042824e-06
"CAMK1D",1.23206246217409e-10,-1.36794805623048,0.035,0.204,1.26890112979309e-06
"ADGRG6",1.27831445577532e-10,-4.01360528163614,0.003,0.123,1.316536058003e-06
"CAMSAP2",1.27831445577532e-10,-4.24443348399521,0.003,0.123,1.316536058003e-06
"BCAT2",1.29183778586672e-10,-0.604453481909356,0.038,0.212,1.33046373566413e-06
"ERP27",1.29851904033494e-10,-3.7074485274629,0.003,0.123,1.33734475964095e-06
"AMN",1.30873804335071e-10,-3.10841616121774,0.003,0.123,1.34786931084689e-06
"DHX32",1.30873804335071e-10,-3.52630868773034,0.003,0.123,1.34786931084689e-06
"CCHCR1",1.31903563253375e-10,-2.99703153605434,0.003,0.123,1.35847479794651e-06
"DIRC2",1.31903563253375e-10,-2.95448634198321,0.003,0.123,1.35847479794651e-06
"FERMT1",1.31903563253375e-10,-2.5084125259297,0.003,0.123,1.35847479794651e-06
"FKBPL",1.31903563253375e-10,-2.58089236386972,0.003,0.123,1.35847479794651e-06
"ATL2",1.33042748292773e-10,-1.07435768273325,0.026,0.185,1.37020726466727e-06
"CPNE1",1.34438615287207e-10,-0.3997853225581,0.139,0.415,1.38458329884295e-06
"CBFA2T2",1.37393472874155e-10,-1.51642819100743,0.023,0.177,1.41501537713093e-06
"C1orf123",1.40932260134613e-10,-0.4397540973277,0.095,0.331,1.45146134712638e-06
"ANXA5",1.4512507352071e-10,-0.34255471702458,0.254,0.623,1.49464313218979e-06
"COQ6",1.48049741157363e-10,-1.16135295629409,0.023,0.177,1.52476428417968e-06
"COA1",1.51367628592205e-10,-0.410933163966449,0.118,0.377,1.55893520687112e-06
"C1S",1.57316322466934e-10,-2.9682147425356,0.006,0.131,1.62020080508695e-06
"CITED4",1.59690916685684e-10,-2.61713543743347,0.006,0.131,1.64465675094586e-06
"CEBPA",1.66220283052938e-10,-3.06218573279958,0.009,0.138,1.71190269516221e-06
"ATG10",1.70108305289271e-10,-1.59964948320418,0.017,0.162,1.7519454361742e-06
"BRAT1",1.74617114251314e-10,-1.32354435084164,0.017,0.162,1.79838165967428e-06
"EHMT2",1.76807388945326e-10,-1.05218666498747,0.032,0.196,1.82093929874791e-06
"CDC5L",1.80024766783475e-10,-0.350201300589614,0.107,0.354,1.854075073103e-06
"FHOD1",1.81601213945216e-10,-1.11536336698179,0.017,0.162,1.87031090242178e-06
"ALYREF",1.83175720530331e-10,-0.840330468947428,0.02,0.169,1.88652674574188e-06
