names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
IL32,2.083794,1.1110399,0.037178891513968845,1.0,0.17791411042944785,0.11492392359987051
UBA52,1.9825606,0.06329564,0.047416534423399055,1.0,0.99079754601227,0.9948203302039494
S100A4,1.9683264,0.37890586,0.04903048885413904,1.0,0.4049079754601227,0.3544836516672062
RPL28,1.9654324,0.057930272,0.04936421599337533,1.0,1.0,0.9990288119132406
FYB,1.9287543,1.8285135,0.05376136179862421,1.0,0.0950920245398773,0.030754289414049854
RPL26,1.9244723,0.07692083,0.05429540612429964,1.0,1.0,0.9990288119132406
RPL19,1.9235568,0.05885314,0.05441015358973526,1.0,1.0,0.9993525412754937
RPS19,1.9226118,0.09141467,0.0545288147247317,1.0,1.0,0.9990288119132406
RPL38,1.9012902,0.07654568,0.05726401415322883,1.0,0.9785276073619632,0.9825186144383296
HINT1,1.8362621,0.09804525,0.06631890887225321,1.0,0.7944785276073619,0.8125606992554225
RPL6,1.8296765,0.037412647,0.0672983188583566,1.0,0.9846625766871165,0.9932016833926837
RPL21,1.7909313,0.051230635,0.07330430963003469,1.0,1.0,0.9996762706377469
NDUFA11,1.7854681,0.32732442,0.07418542801177387,1.0,0.38650306748466257,0.34703787633538363
RPL32,1.7537808,0.052552897,0.07946806179298296,1.0,1.0,0.9990288119132406
FTH1,1.7389561,0.07549657,0.08204248288450022,1.0,0.9938650306748467,0.9941728714794432
CTLA4,1.733227,26.170687,0.08305532586007473,1.0,0.05828220858895705,0.0
LAG3,1.733227,26.295874,0.08305532586007473,1.0,0.05828220858895705,0.0
RPS16,1.7267892,0.06530716,0.08420553265343603,1.0,1.0,0.9980576238264811
NDUFS5,1.7260214,0.31356782,0.08434356962273074,1.0,0.41411042944785276,0.3687277436063451
NDUFB1,1.7165713,0.43190113,0.08605752710126374,1.0,0.29754601226993865,0.2476529621236646
RPS14,1.7116987,0.05222854,0.08695222003419006,1.0,1.0,0.9990288119132406
EVI2A,1.7107537,0.48233575,0.08712660251780602,1.0,0.24846625766871167,0.19294269990288118
RGCC,1.6675197,0.71268183,0.0954111161561344,1.0,0.17791411042944785,0.1246358044674652
GIMAP7,1.6652458,1.5646844,0.09586373604085117,1.0,0.07975460122699386,0.022984784719974102
NDUFA6,1.6639464,0.5131145,0.09612314667493219,1.0,0.22085889570552147,0.16736808028488184
RPL22,1.6380473,0.016925888,0.10141181864017561,1.0,0.9815950920245399,0.9902881191324053
LINC00152,1.6267663,1.2383302,0.10378673124486948,1.0,0.09815950920245399,0.043056005179669794
