group,names,scores,logfoldchanges,pvals,pvals_adj
5,IGFBP7,12.532116,2.4529572,4.981555721003834e-36,1.277321979744573e-34
5,S100A4,12.457708,,1.2696675957500527e-35,3.2143483436710194e-34
5,MBP,11.930433,,8.214454881078167e-33,1.910338344436783e-31
5,FCER1G,10.068625,,7.603339295016222e-24,1.2997161188061917e-22
5,PTGDS,10.032416,,1.0979592008702853e-23,1.8453095812945972e-22
5,XCL1,9.757352,,1.7157697099141468e-22,2.660108077386274e-21
5,SFTPC,9.179682,3.885301,4.32368242243116e-20,5.473015724596405e-19
5,AKR1C3,7.9270444,-0.3057739,2.2442292637604644e-15,2.1788633628742372e-14
5,BPGM,6.776979,,1.22714925440337e-11,9.261503806817887e-11
5,CCL3L3,5.959206,3.2428925,2.5346589721771387e-09,1.6144324663548653e-08
5,KRT86,5.2916226,,1.21235837765309e-07,6.735324320294944e-07
5,CTSC,5.287942,,1.2370020452678281e-07,6.853196926691569e-07
5,FKBP11,5.213196,1.7739513,1.8561496717502334e-07,1.0142894381148816e-06
5,ALOX5AP,4.9639235,,6.908312790105006e-07,3.626410913440948e-06
5,HBA2,4.689193,,2.742848015615818e-06,1.371424007807909e-05
5,MMP23B,4.334458,,1.4611962712540157e-05,6.95807748216198e-05
5,HBA1,3.5565035,,0.00037582338486616244,0.0015184783226915655
5,HBB,3.539663,,0.0004006380506334463,0.0016057637299937727
5,KRT81,3.4882796,,0.0004861394229446258,0.0019101745498806514
5,TNFRSF18,3.2803435,,0.0010368079766316493,0.0038471539021582533
5,TNF,3.153247,,0.0016146504415773318,0.005829062965983147
5,S100B,2.9975863,-0.6340895,0.0027212677940989844,0.009416151536674687
5,PDGFRB,2.5756266,,0.010005863224090477,0.03141527758150162
5,SCGB1A1,2.5630836,0.9107731,0.010374703552093438,0.03237036989732742
5,FEZ1,2.1543863,,0.031209893056564634,0.08678244896141772
5,SYT11,2.0154448,,0.04385807786525604,0.11805673718776862
5,ANXA1,2.000293,,0.045468622297675135,0.12173660588400304
5,LRMP,1.7987628,,0.07205621263988532,0.17991563705339655
5,ABCA2,1.5605189,,0.1186373247386386,0.2777769032078782
5,TESC,1.2377807,2.2195964,0.21579738933328008,0.45963235214756143
