names,scores,logfoldchanges,pvals,pvals_adj
DNAJC7,-2.7560642,-0.46964884,0.0058501512001702186,0.7454968121471295
PABPC1,-2.756175,-0.29628882,0.005848171115420763,0.7454968121471295
NDUFAF3,-2.754027,-0.57631123,0.00588669278674591,0.7454968121471295
GPSM3,-2.7542262,-0.31958893,0.005883109009642519,0.7454968121471295
MYLIP,-2.7576365,-0.82056564,0.005822090558778038,0.7454968121471295
IFI44L,-2.750949,-0.57514083,0.005942292668465345,0.7493357486693704
MARCH1,-2.7476273,-0.35040542,0.00600282304791807,0.7505808362953759
PRDX1,-2.7484465,-0.35227394,0.005987840827411776,0.7505808362953759
SLIRP,-2.738858,-0.7050499,0.006165301374529102,0.7617923261483216
PLAC8,-2.7377949,-0.3211048,0.006185262461929208,0.7617923261483216
USP16,-2.736732,-0.58243114,0.0062052817227901125,0.7617923261483216
HADHA,-2.7346947,-0.5150105,0.006243815111820913,0.7617923261483216
DRAP1,-2.7333438,-0.39495462,0.006269483053038335,0.7617923261483216
SRSF4,-2.7375515,-0.60483176,0.006189845065749444,0.7617923261483216
ZNF207,-2.7331889,-0.52511495,0.006272434621724724,0.7617923261483216
HLA-A,-2.7279186,-0.31342945,0.006373535179576576,0.7709115980064174
LAMTOR5,-2.7264347,-0.3341408,0.006402259558389509,0.7712380477777021
SNU13,-2.7216294,-0.32520252,0.006496093556780367,0.7793734269701594
SKAP2,-2.7190607,-0.5855651,0.006546759428982436,0.7822849553163932
ZFP36L2,-2.7082984,-0.30879214,0.006762917552922522,0.8048686697321527
COX17,-2.7067482,-0.42795128,0.006794574375374501,0.8054016681593918
EML4,-2.701522,-0.53951454,0.006902286747573673,0.8149098226199133
RBMX,-2.6956983,-0.33485025,0.007024127346646392,0.8227390900811035
KTN1,-2.6969383,-0.42462692,0.006998023432131905,0.8227390900811035
CCNI,-2.6918893,-0.36370718,0.007104851276252096,0.8289179634663568
EIF3G,-2.6884127,-0.334244,0.007179261399359314,0.8343146365043682
JCHAIN,-2.6849582,-0.34044713,0.007253889653894183,0.8364271050719853
DRAM2,-2.6852238,-0.3313343,0.007248124400258488,0.8364271050719853
YPEL5,-2.6782706,-0.3097179,0.007400343483791809,0.8500068945685522
SMCHD1,-2.676787,-0.39268896,0.007433192200855606,0.8504834659465446
PNN,-2.6732438,-0.36275515,0.0075121665490503736,0.8529331169140183
SET,-2.674506,-0.3405696,0.007483946073791284,0.8529331169140183
FXYD5,-2.6713393,-0.31908536,0.007554925421616401,0.8545139692525971
HIGD2A,-2.6659803,-0.33857998,0.007676420277253754,0.8649545189967214
HNRNPD,-2.6627915,-0.56696695,0.007749543002062288,0.8698862019814919
SNX2,-2.6535792,-0.3231821,0.00796430517336055,0.8906196962542132
PIM3,-2.6476002,-0.5733557,0.008106531133291937,0.8992048861525271
BUD31,-2.645275,-0.4402346,0.008162452398428487,0.8992048861525271
PSAP,-2.648176,-0.38087985,0.008092737046347514,0.8992048861525271
ENO1,-2.6452973,-0.3198811,0.008161918190549471,0.8992048861525271
NONO,-2.6438136,-0.46607578,0.008197779384679952,0.8997518306874286
CD53,-2.6410897,-0.32043025,0.008263981341533324,0.9036709338560831
KLF6,-2.6391633,-0.3260802,0.008311095535853222,0.9054816364318912
TMEM156,-2.635443,-0.510984,0.008402755245735685,0.9121144650261218
MAPK1IP1L,-2.6324756,-0.48131642,0.008476511851901089,0.9167625993402805
SEC61B,-2.621337,-0.32003936,0.008758566768576092,0.9438231549817597
CCND3,-2.617705,-0.43895978,0.008852325399965609,0.9470390285291728
EIF3K,-2.6178381,-0.32288724,0.008848879467085817,0.9470390285291728
SP100,-2.616465,-0.33341238,0.008884545293252492,0.9470669612239007
CD27,-2.614317,-0.41692424,0.008940602692773027,0.9496265956904512
CCDC50,-2.6088474,-0.44172668,0.009084775704912626,0.9614937258549313
RPS7,2.602979,0.054638416,0.009241759971258,0.9642892968412339
TXNIP,-2.606633,-0.29938707,0.009143733175596748,0.9642892968412339
PTGES3,-2.6042855,-0.3242575,0.009206600764986906,0.9642892968412339
RP5-1171I10.5,-2.6010747,-0.45142162,0.009293223614316058,0.9642892968412339
DOCK8,-2.603112,-0.46075144,0.009238178993664371,0.9642892968412339
ARGLU1,-2.6005874,-0.33884734,0.009306429739373451,0.9642892968412339
CTSH,-2.592682,-0.36370358,0.009523082146863728,0.9832997085022986
OSGEP,-2.5829382,-1.0914389,0.009796285418149298,0.9998485629105854
PPP2R1A,-2.582872,-0.64674866,0.009798171897556426,0.9998485629105854
MBP,-2.582163,-0.6256236,0.009818314497097264,0.9998485629105854
MOB1A,-2.584289,-0.3858222,0.009757997140293505,0.9998485629105854
KIF21B,0.28779033,0.74437165,0.7735072304684769,1.0
CTC-378H22.2,0.28818893,0.8995835,0.7732021114267722,1.0
C21orf2,0.28849897,0.24607547,0.7729648208448553,1.0
RP11-727F15.9,0.28876472,0.5707007,0.7727614458082133,1.0
DPM2,0.28987193,0.25983828,0.7719142179457203,1.0
RP11-159G9.5,0.29022625,1.3946116,0.7716431624047042,1.0
SBNO2,0.29086843,0.67605466,0.7711519452975832,1.0
TMEM173,0.29201993,0.81218475,0.7702713720821301,1.0
TNIK,0.29292786,0.97347564,0.7695772826564942,1.0
APBA2,0.29332647,1.1176592,0.7692726187423609,1.0
VEZF1,0.29354793,0.44271848,0.7691033764005293,1.0
ZNF569,0.2935922,0.75250185,0.7690695292520654,1.0
SPATA24,0.29633814,1.4324646,0.7669718679879466,1.0
APBA3,0.29713532,0.40370655,0.7663631885002357,1.0
FBXO42,0.2976225,0.45414096,0.7659912886499168,1.0
SERINC5,0.29795468,0.7040681,0.7657377514801105,1.0
ATXN7,0.27970758,0.2542083,0.7797018562121185,1.0
TOX,0.2808591,0.36071867,0.7788184690583366,1.0
RAB24,0.28141272,0.62321734,0.7783938653089453,1.0
ID2,0.2818556,0.6050024,0.7780542299284328,1.0
ITGA5,0.2818556,2.3522744,0.7780542299284328,1.0
RPS2,0.2824978,-0.008813554,0.7775618339461671,1.0
MDN1,0.28280783,0.53919935,0.7773241574981207,1.0
MRPS24,0.28325072,0.90440845,0.7769846558677094,1.0
NDUFA11,0.2848894,0.064802,0.7757288706126058,1.0
GIMAP1,0.28495583,0.5629637,0.7756779727411844,1.0
RNU11,0.28562018,1.4078183,0.775169047054634,1.0
ACTR6,0.28606308,0.40569046,0.7748298168943931,1.0
CTD-3131K8.2,0.28626236,0.7692904,0.7746771773395267,1.0
HP,0.2864174,1.8857104,0.774558463705935,1.0
TPPP3,0.2867274,1.9580076,0.7743210522529811,1.0
DHX57,0.28748032,0.6849943,0.7737445694808069,1.0
HIPK1-AS1,0.27237776,1.8593163,0.7853315807741525,1.0
BDH2,0.27346283,0.69026953,0.7844974611909219,1.0
NFKBIZ,0.27350712,0.15986912,0.7844634207440508,1.0
MSRB1,0.27361783,0.6192098,0.7843783214310053,1.0
PLA2G16,0.2739943,0.42222354,0.7840890030566423,1.0
SLC35D2,0.2746808,0.95199746,0.7835614993404327,1.0
LEMD2,0.27481365,0.25775826,0.783459413327737,1.0
DENND1A,0.27530083,0.94054043,0.7830851298511141,1.0
SDE2,0.2761202,0.4912117,0.7824557663370927,1.0
WDR75,0.27658522,0.604644,0.7820986233266772,1.0
STMN1,0.27758172,0.23945433,0.7813334716410891,1.0
RP11-422P24.11,0.27786958,3.4413052,0.7811124671878189,1.0
SYT11,0.27853394,0.86121285,0.7806025244086634,1.0
CTSF,0.27888823,0.995942,0.7803305934923751,1.0
KIF16B,0.27924255,0.84067994,0.7800586894452303,1.0
AP001258.4,0.27959687,0.7172976,0.7797868122987048,1.0
ABCB1,0.2624127,0.97925615,0.7930032761024495,1.0
FAM20A,0.26334277,2.5903914,0.7922863903424857,1.0
OLFM2,0.2636528,3.3350244,0.7920474674080896,1.0
MRPL36,0.2636971,0.25118893,0.7920133371539769,1.0
TNFRSF4,0.2654908,1.0601429,0.7906313975260675,1.0
TSTD1,0.26586726,0.09658931,0.7903414442095462,1.0
SLC16A7,0.26635444,0.3949108,0.7899662535884315,1.0
FBLN7,0.2666423,1.3058121,0.7897445729170778,1.0
JAML,0.26830316,0.66084224,0.788465978755944,1.0
USP51,0.26830316,0.7806811,0.788465978755944,1.0
ALDH18A1,0.2691225,0.48835,0.787835415257629,1.0
